project_id	bug_id	rank_mean_best	rank_min_best	rank_max_best	rank_best_case	Compare_SBFL_Better	Improvement_Case_MEANVSBESTCASE	spectra	tests	fail	pass	1_max	0_from_1_max	1_median	0_from_1_median	1_min	0_from_1_min
Math	22	1	1	1	1	0	0	2310	87	2	85	278	2032	278	2032	66	2244
Math	23	41	41	41	151	0	0	2353	17	1	16	304	2049	304	2049	304	2049
Math	24	71	71	71	152.5	0	0	2347	16	1	15	311	2036	311	2036	311	2036
Math	25	2	2	2	1.5	1	0	548	7	1	6	72	476	72	476	72	476
Math	26	24	24	24	33	0	0	2356	209	1	208	448	1908	448	1908	448	1908
Math	27	2	2	2	1	1	0	1945	209	1	208	66	1879	66	1879	66	1879
Math	28	22	22	22	18	1	0	5934	26	1	25	412	5522	412	5522	412	5522
Math	29	2	2	3	2.333333333	0	0	3407	76	3	73	199	3208	198	3209	198	3209
Math	30	24.5	24.5	24.5	55	0	0	2708	3	1	2	349	2359	349	2359	349	2359
Math	31	99	105	81	123.3333333	0	0	3033	311	2	309	447	2586	447	2586	361	2672
Math	32	64.5	64.5	64.5	6	1	-4	3930	23	1	22	1405	2525	1405	2525	1405	2525
Math	33	51	51	51	44	1	0	5756	28	1	27	406	5350	406	5350	406	5350
Math	34	1	1	1	2	0	0	188	24	1	23	33	155	33	155	33	155
Math	35	6	6	6	6	0	0	517	12	4	8	10	507	10	507	9	508
Math	36	1	1	1	1	0	0	643	88	2	86	356	287	356	287	356	287
Math	37	1	1	1	13.1	0	5	1745	287	4	283	256	1489	251	1494	157	1588
Math	38	2	2	2	6.5	0	6	5094	17	1	16	291	4803	291	4803	291	4803
Math	39	289	289	289	193.6666667	1	-1	2460	69	1	68	513	1947	513	1947	513	1947
Math	40	126.5	126.5	126.5	34	1	0	2014	89	1	88	183	1831	183	1831	183	1831
Math	41	14	14	14	27.5	0	0	1875	221	1	220	116	1759	116	1759	116	1759
Math	42	67	67	67	56.33333333	1	0	5779	27	1	26	376	5403	376	5403	376	5403
Math	43	105	110	96	50	1	0	2301	78	6	72	278	2023	267	2034	238	2063
Math	44	13	13	13	11.66666667	1	0	2894	162	1	161	817	2077	817	2077	817	2077
Math	45	1	1	1	1.2	0	0	1546	433	1	432	10	1536	10	1536	10	1536
Math	46	3	8	1	1	1	0	2678	190	2	188	346	2332	346	2332	25	2653
Math	47	3	2	1	2	1	0	2677	190	2	188	397	2280	397	2280	26	2651
Math	48	412.5	412.5	412.5	357	1	0	3169	36	1	35	742	2427	742	2427	742	2427
Math	49	5	5	5	7	0	6	3245	35	1	34	424	2821	424	2821	424	2821
Math	50	1	1	1	1	0	0	3152	36	1	35	392	2760	392	2760	392	2760
Math	51	29	29	29	29.66666667	0	0	2754	36	1	35	409	2345	409	2345	409	2345
Math	52	9	9	9	17.5	0	4	2948	28	1	27	412	2536	412	2536	412	2536
Math	53	2	2	2	1	1	0	789	167	1	166	20	769	20	769	20	769
Math	54	11	11	11	19	0	0	2897	63	1	62	672	2225	672	2225	672	2225
Math	55	1	1	1	1	0	0	2051	88	1	87	36	2015	36	2015	36	2015
Math	56	4.5	4.5	4.5	4	1	0	2514	5	1	4	352	2162	352	2162	352	2162
Math	57	8	8	8	9	0	0	2603	4	1	3	362	2241	362	2241	362	2241
Math	58	629	629	629	843.5	0	0	2841	8	1	7	1183	1658	1183	1658	1183	1658
Math	59	1	1	1	1.5	0	0	2881	1513	1	1512	921	1960	921	1960	921	1960
Math	60	17	17	17	40.5	0	0	2087	26	1	25	479	1608	479	1608	479	1608
Math	61	331	331	331	5	1	-3	2321	12	1	11	599	1722	599	1722	599	1722
Math	62	234.5	234.5	234.5	108	1	-1	2247	2	1	1	468	1779	468	1779	468	1779
Math	63	1	1	1	4.5	0	0	1773	760	1	759	10	1763	10	1763	10	1763
Math	64	16	16	16	38	0	0	656	54	2	52	381	275	381	275	380	276
Math	65	70	70	70	25	1	0	3680	75	1	74	414	3266	414	3266	414	3266
Math	66	384.5	384.5	384.5	16.85714286	1	-1	1781	10	4	6	439	1342	368	1413	164	1617
Math	67	242.5	242.5	242.5	143	1	-1	682	2	1	1	429	253	429	253	429	253
