project_id	bug_id	rank_mean_best	rank_min_best	rank_max_best	rank_mean_average	rank_min_average	rank_max_average	rank_mean_worst	rank_min_worst	rank_max_worst	exam_mean_best	exam_min_best	exam_max_best	exam_mean_average	exam_min_average	exam_max_average	exam_mean_worst	exam_min_worst	exam_max_worst
Closure	40	2824.5	2824.5	2824.5	2824.5	2824.5	2824.5	2824.5	2824.5	2824.5	0.06954155997636399	0.06954155997636399	0.06954155997636399	0.06954155997636399	0.06954155997636399	0.06954155997636399	0.06954155997636399	0.06954155997636399	0.06954155997636399
Closure	41	2571.0	2571.0	2571.0	2571.0	2571.0	2571.0	2571.0	2571.0	2571.0	0.07178756910705311	0.07178756910705311	0.07178756910705311	0.07178756910705311	0.07178756910705311	0.07178756910705311	0.07178756910705311	0.07178756910705311	0.07178756910705311
Closure	42	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	0.0012564249000571101	0.0012564249000571101	0.0012564249000571101	0.0012564249000571101	0.0012564249000571101	0.0012564249000571101	0.0012564249000571101	0.0012564249000571101	0.0012564249000571101
Closure	43	2734.0	2734.0	2734.0	2734.0	2734.0	2734.0	2734.0	2734.0	2734.0	0.07639859162801095	0.07639859162801095	0.07639859162801095	0.07639859162801095	0.07639859162801095	0.07639859162801095	0.07639859162801095	0.07639859162801095	0.07639859162801095
Closure	44	781.0	781.0	781.0	781.0	781.0	781.0	781.0	781.0	781.0	0.029370839757812794	0.029370839757812794	0.029370839757812794	0.029370839757812794	0.029370839757812794	0.029370839757812794	0.029370839757812794	0.029370839757812794	0.029370839757812794
Closure	45	1791.0	1791.0	1791.0	1791.0	1791.0	1791.0	1791.0	1791.0	1791.0	0.05415620936772399	0.05415620936772399	0.05415620936772399	0.05415620936772399	0.05415620936772399	0.05415620936772399	0.05415620936772399	0.05415620936772399	0.05415620936772399
Closure	46	2.0	5.0	2.0	7.0	8.0	8.0	4273.5	4273.5	4273.5	0.00026727248429774154	0.0006681812107443538	0.00026727248429774154	0.0009354536950420954	0.0010690899371909662	0.0010690899371909662	0.5710944808231992	0.5710944808231992	0.5710944808231992
Closure	47	2325.5	2325.5	2325.5	2325.5	2325.5	2325.5	2325.5	2325.5	2325.5	0.06333750953262883	0.06333750953262883	0.06333750953262883	0.06333750953262883	0.06333750953262883	0.06333750953262883	0.06333750953262883	0.06333750953262883	0.06333750953262883
Closure	48	178.0	178.0	178.0	178.0	178.0	178.0	2470.0	2470.0	2470.0	0.005199205514662928	0.005199205514662928	0.005199205514662928	0.005199205514662928	0.005199205514662928	0.005199205514662928	0.07214627877088445	0.07214627877088445	0.07214627877088445
Closure	49	168.0	155.0	99.0	2822.5	2822.5	2822.5	2822.5	2822.5	2822.5	0.004463692642878019	0.0041182878550362675	0.002630390307410261	0.0749926933602572	0.0749926933602572	0.0749926933602572	0.0749926933602572	0.0749926933602572	0.0749926933602572
Closure	5	58.0	58.0	58.0	58.0	58.0	58.0	58.0	58.0	58.0	0.0016355996728800654	0.0016355996728800654	0.0016355996728800654	0.0016355996728800654	0.0016355996728800654	0.0016355996728800654	0.0016355996728800654	0.0016355996728800654	0.0016355996728800654
